Date,Open,High,Low,Close,Volume
04/14/2021,"139.12","139.46","138.42","139.32","7,308,164"
04/13/2021,"139.80","140.00","138.87","139.37","5,799,331"
04/12/2021,"140.07","140.38","139.34","139.80","6,241,041"
04/09/2021,"139.63","140.09","138.71","139.78","6,892,161"
04/08/2021,"140.45","141.12","139.66","139.71","6,365,153"
04/07/2021,"140.30","140.75","139.65","139.80","6,787,192"
04/06/2021,"139.11","140.95","138.52","140.10","10,348,230"
04/05/2021,"136.72","140.16","136.20","139.43","13,347,720"
04/01/2021,"135.94","136.89","135.33","135.62","8,531,718"
03/31/2021,"135.55","136.86","134.96","135.83","8,182,012"
03/30/2021,"136.33","137.59","135.47","135.74","9,076,726"
03/29/2021,"135.00","137.01","134.60","136.67","10,048,840"
03/26/2021,"134.00","135.20","133.42","135.13","9,551,168"
03/25/2021,"133.26","134.53","132.87","134.01","9,375,334"
03/24/2021,"134.43","134.43","133.05","133.11","7,849,144"
03/23/2021,"131.71","134.30","131.63","133.94","9,718,262"
03/22/2021,"131.00","132.45","130.99","132.37","8,217,950"
03/19/2021,"130.13","132.50","129.90","131.74","19,234,520"
03/18/2021,"131.16","131.95","129.93","130.01","9,938,471"
03/17/2021,"132.50","133.14","131.98","132.28","8,052,060"
03/16/2021,"132.82","134.28","132.82","133.39","6,626,953"
03/15/2021,"134.74","134.75","132.83","133.43","8,366,025"
03/12/2021,"132.52","134.52","132.08","134.12","9,479,187"
03/11/2021,"133.36","133.49","131.53","132.13","11,829,890"
03/10/2021,"128.86","133.05","128.47","132.18","14,976,450"
03/09/2021,"128.80","129.88","128.32","128.89","10,662,880"
03/08/2021,"129.33","129.84","127.81","127.88","13,662,800"
03/05/2021,"126.83","129.75","126.75","129.12","11,357,860"
03/04/2021,"127.86","129.58","126.28","127.53","15,115,970"
03/03/2021,"129.50","129.93","127.55","127.59","13,945,760"
03/02/2021,"131.51","132.75","130.01","130.11","9,743,566"
03/01/2021,"131.58","132.57","131.13","131.37","11,544,850"
02/26/2021,"131.48","131.81","129.86","129.92","14,156,930"
02/25/2021,"133.10","134.01","131.48","131.95","11,108,230"
02/24/2021,"135.87","136.16","133.05","133.21","15,521,910"
02/23/2021,"137.11","137.39","135.06","135.47","10,433,400"
02/22/2021,"137.74","138.34","136.25","137.69","10,702,210"
02/19/2021,"137.80","139.42","137.67","138.34","12,201,990"
02/18/2021,"139.00","140.70","137.50","137.66","32,309,131"
02/17/2021,"144.65","147.50","144.50","147.20","8,675,565"
02/16/2021,"145.94","146.39","144.93","145.66","9,297,029"
02/12/2021,"144.16","144.61","143.67","144.47","4,474,531"
02/11/2021,"144.14","144.95","143.71","144.02","4,263,820"
02/10/2021,"145.83","145.90","143.54","144.13","6,192,319"
02/09/2021,"144.58","146.32","144.58","145.83","5,302,336"
02/08/2021,"144.81","145.58","144.46","145.03","5,275,117"
02/05/2021,"143.46","144.85","142.53","144.36","6,817,249"
02/04/2021,"141.79","143.18","141.26","142.53","5,782,089"
02/03/2021,"140.66","142.05","140.63","141.20","4,988,932"
02/02/2021,"139.76","142.15","139.44","140.77","9,000,788"
02/01/2021,"140.91","141.49","139.19","139.27","8,648,363"
01/29/2021,"143.18","143.75","140.35","140.49","10,836,370"
01/28/2021,"144.46","146.26","143.63","143.75","7,433,874"
01/27/2021,"146.96","147.86","143.55","143.84","9,970,114"
01/26/2021,"145.63","147.81","145.47","147.51","5,010,495"
01/25/2021,"145.36","146.25","144.27","146.20","6,343,721"
01/22/2021,"145.60","147.34","145.12","146.33","6,406,452"
01/21/2021,"145.36","145.73","144.21","144.85","4,783,285"
01/20/2021,"143.59","145.66","142.89","145.51","7,925,237"
01/19/2021,"144.64","145.07","142.67","143.39","8,041,153"
01/15/2021,"145.14","145.90","143.67","144.64","11,973,490"
01/14/2021,"147.82","148.00","146.04","146.97","7,672,366"
01/13/2021,"148.75","149.07","147.43","147.45","5,356,541"
01/12/2021,"149.00","149.93","148.32","148.97","7,791,143"
01/11/2021,"146.00","147.99","146.00","147.29","8,782,414"
01/08/2021,"146.88","147.00","145.81","146.63","8,159,400"
01/07/2021,"147.62","147.76","146.04","146.65","6,845,971"
01/06/2021,"145.09","148.10","145.01","146.66","7,306,302"
01/05/2021,"146.60","147.07","144.49","145.75","8,832,653"
01/04/2021,"144.30","146.89","144.28","146.53","10,727,410"
12/31/2020,"144.20","144.27","142.85","144.15","5,938,018"
12/30/2020,"144.88","145.15","143.94","144.18","6,250,385"
12/29/2020,"145.64","145.85","143.59","144.30","5,979,380"
12/28/2020,"144.04","145.30","143.33","145.22","6,448,325"
12/24/2020,"143.54","144.39","143.18","143.50","3,018,157"
12/23/2020,"143.54","144.22","142.30","143.22","6,810,150"
12/22/2020,"145.15","146.23","143.14","144.20","12,554,060"
12/21/2020,"145.50","146.67","145.06","145.97","8,517,668"
12/18/2020,"146.62","147.18","145.16","145.95","13,794,740"
12/17/2020,"146.06","146.44","145.15","146.10","10,226,460"
12/16/2020,"146.24","146.89","145.08","145.43","8,550,348"
12/15/2020,"145.52","146.36","144.86","145.58","10,631,500"
12/14/2020,"147.70","147.72","145.40","145.65","8,362,652"
12/11/2020,"146.92","147.51","145.94","147.00","5,620,262"
12/10/2020,"147.75","148.15","146.57","147.04","6,884,118"
12/09/2020,"150.00","150.00","147.89","148.27","6,713,231"
12/08/2020,"147.36","149.85","147.18","149.45","6,905,454"
12/07/2020,"148.46","148.99","147.16","148.11","6,159,738"
12/04/2020,"149.51","149.51","147.58","148.91","6,963,068"
12/03/2020,"150.28","150.28","148.39","149.30","8,575,283"
12/02/2020,"152.00","152.62","149.53","150.52","7,849,016"
12/01/2020,"153.60","153.66","151.66","152.64","7,647,091"
11/30/2020,"151.60","152.95","150.10","152.79","10,898,520"
11/27/2020,"152.15","152.72","151.10","151.60","3,666,527"
11/25/2020,"151.25","152.39","151.21","151.83","4,611,107"
11/24/2020,"151.74","151.98","150.27","151.36","5,722,923"
11/23/2020,"150.37","151.40","149.37","150.93","6,185,714"
11/20/2020,"151.17","152.76","149.81","150.24","7,320,855"
11/19/2020,"149.46","152.45","149.32","152.12","6,196,868"
11/18/2020,"149.86","151.67","149.05","149.09","8,312,289"
11/17/2020,"150.50","153.24","149.18","149.37","14,237,210"
11/16/2020,"150.53","153.40","149.28","152.44","11,520,140"
11/13/2020,"148.94","150.94","147.52","150.54","6,603,838"
11/12/2020,"148.48","148.71","147.10","148.23","4,192,331"
11/11/2020,"146.92","148.96","146.40","147.98","6,268,607"
11/10/2020,"143.75","146.44","143.53","145.56","6,066,444"
11/09/2020,"148.00","148.20","143.48","143.54","9,399,524"
11/06/2020,"144.36","146.22","143.55","145.77","5,399,488"
11/05/2020,"144.00","144.23","142.94","143.47","4,734,235"
11/04/2020,"141.57","144.39","141.34","141.96","5,975,827"
11/03/2020,"141.65","144.16","141.57","142.78","5,137,741"
11/02/2020,"140.59","140.81","139.03","140.40","5,525,218"
10/30/2020,"139.18","140.09","137.37","138.75","6,202,739"
10/29/2020,"140.00","141.11","138.70","139.92","5,051,348"
10/28/2020,"140.96","142.13","139.88","140.04","5,616,441"
10/27/2020,"142.05","143.70","141.97","142.87","3,943,651"
10/26/2020,"142.84","143.12","140.94","142.16","5,370,597"
10/23/2020,"143.97","144.14","142.85","143.85","3,513,489"
10/22/2020,"144.19","144.56","142.69","143.55","4,451,577"
10/21/2020,"143.84","145.73","143.84","144.40","4,371,427"
10/20/2020,"144.11","145.53","143.62","143.90","4,843,212"
10/19/2020,"145.10","145.37","142.75","142.95","4,881,070"
10/16/2020,"145.40","146.15","144.47","144.71","5,647,341"
10/15/2020,"143.09","144.96","142.84","144.53","4,568,475"
10/14/2020,"146.40","146.53","143.76","143.94","6,574,109"
10/13/2020,"144.68","146.61","144.36","146.23","7,933,449"
10/12/2020,"143.02","145.39","143.02","144.25","6,134,149"
